_fid;zaehlstelle;bezeichnung;knoten;letzte_zaehlung;geom;coordinate_reference_system
APP_KFZ_DAUERZAEHLSTELLEN_2497;101;Krohnstieg / Swebenweg;;31.12.2023;POINT (564439.000000 5944531.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2498;102;Zeppelinstraße N Terminalzufahrten (UFu);;05.01.2004;POINT (566756.000000 5943478.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2499;103;Kollaustraße SO Vogt-Cordes-Damm;;05.01.2004;POINT (563017.000000 5940917.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2500;105;Luruper Hauptstraße O Engelbrechtweg (Landesgrenze);;05.01.2004;POINT (556547.000000 5939160.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2501;106;Fruchtallee NW Emilienstraße;;05.01.2004;POINT (563081.000000 5936266.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2502;107;Doormannsweg SW Fruchtallee;;05.01.2004;POINT (563262.000000 5936102.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2503;108;Habichtstraße NW Meisenstraße;;05.01.2004;POINT (570059.000000 5938465.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2504;109;Wandsbeker Marktstraße SW Wandsbeker Königstraße;;05.01.2004;POINT (570492.000000 5936353.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2505;110;Wallringtunnel N Deichtorplatz;;05.01.2004;POINT (566672.000000 5933892.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2506;111;Deichtortunnel O Meßberg;;05.01.2004;POINT (566465.000000 5933634.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2507;112;Oberbaumbrücke NO Poggenmühle;;01.01.2015;POINT (566472.000000 5933487.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2508;113;Überseeallee O Shanghaiallee;;01.01.2015;POINT (566583.000000 5932895.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2509;114;A7 SO AS HH-Othmarschen (Elbtunnel);;05.01.2004;POINT (560897.000000 5932905.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2510;115;Köhlbrandbrücke O Waltershofer Damm;;05.01.2004;POINT (561144.000000 5930441.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2511;116;Veddeler Damm O Worthdamm;;05.01.2004;POINT (565061.000000 5931404.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2512;117;Neue Elbbrücke NO Veddeler Marktplatz;;05.01.2004;POINT (567917.000000 5931756.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2513;119;A1/A255 AD Hamburg-Norderelbe DP2325;;01.01.2004;POINT (568720.000000 5929353.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2514;121;A253 N AS HH-Neuland (Europabrücke);;01.01.2020;POINT (566101.000000 5925409.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2515;122;Buxtehuder Straße NW Bleicherweg;;05.01.2004;POINT (564732.000000 5924526.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2516;258;Neuhöfer Straße O Neuhöfer Damm (Reiherstiegbrücke);;05.01.2004;POINT (564404.000000 5929712.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2517;354;A1 AS HH-Öjendorf Knoten Nordwest;;06.11.2018;POINT (575952.000000 5933594.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2518;355;"A1 AS HH-Öjendorf Knoten Südost ";;06.11.2018;POINT (576061.000000 5933260.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2519;371;A7 AS HH-Moorburg;;12.04.2018;POINT (560672.000000 5926273.000000);EPSG:25832
APP_KFZ_DAUERZAEHLSTELLEN_2520;376;A7/A261 AD Hamburg-Südwest;;16.02.2015;POINT (561591.000000 5921144.000000);EPSG:25832
